2026-02-05 10:35:36 | INFO     | app.main | 请求 | GET /api/v1/assets/scrapped | 状态=200 | 耗时=4.55 ms | 客户端=127.0.0.1
2026-02-05 10:35:38 | INFO     | app.main | 请求 | GET /api/v1/assets/2/history | 状态=200 | 耗时=13.39 ms | 客户端=127.0.0.1
2026-02-05 10:35:38 | INFO     | app.main | 请求 | GET /api/v1/assets/2 | 状态=200 | 耗时=14.13 ms | 客户端=127.0.0.1
2026-02-05 10:35:45 | INFO     | app.main | 请求 | GET /api/v1/assets/pending-scrap | 状态=200 | 耗时=4.21 ms | 客户端=127.0.0.1
2026-02-05 10:35:46 | INFO     | app.main | 请求 | GET /api/v1/assets/scrapped | 状态=200 | 耗时=4.57 ms | 客户端=127.0.0.1
2026-02-05 10:35:51 | INFO     | app.main | 请求 | GET /api/v1/assets/pending-scrap | 状态=200 | 耗时=4.28 ms | 客户端=127.0.0.1
2026-02-05 10:35:54 | INFO     | app.main | 请求 | GET /api/v1/assets/scrapped | 状态=200 | 耗时=4.58 ms | 客户端=127.0.0.1
2026-02-05 10:35:55 | INFO     | app.main | 请求 | GET /api/v1/assets/deleted | 状态=200 | 耗时=4.28 ms | 客户端=127.0.0.1
2026-02-05 10:35:56 | INFO     | app.main | 请求 | GET /api/v1/assets/scrapped | 状态=200 | 耗时=4.89 ms | 客户端=127.0.0.1
2026-02-05 10:35:57 | INFO     | app.main | 请求 | GET /api/v1/assets/pending-scrap | 状态=200 | 耗时=4.11 ms | 客户端=127.0.0.1
2026-02-05 10:35:59 | INFO     | app.main | 请求 | GET /api/v1/assets/ | 状态=200 | 耗时=4.33 ms | 客户端=127.0.0.1
2026-02-05 10:36:05 | INFO     | app.main | 请求 | GET /api/v1/assets/pending-scrap | 状态=200 | 耗时=4.15 ms | 客户端=127.0.0.1
2026-02-05 10:36:06 | INFO     | app.main | 请求 | GET /api/v1/assets/scrapped | 状态=200 | 耗时=4.43 ms | 客户端=127.0.0.1
2026-02-05 10:36:07 | INFO     | app.main | 请求 | GET /api/v1/assets/deleted | 状态=200 | 耗时=4.08 ms | 客户端=127.0.0.1
